idx,car_position_x,car_position_y,etheta,cmd_vel.linear.x,cmd_vel.angular.z
1,4.48425e-05,1.36327e-07,-0.00285178,0.00330071,0,0
2,4.48596e-05,1.36106e-07,-0.00285178,0.00330071,0.2,-0.0147572
3,0.00994671,-5.91224e-07,-0.00281876,0.00330973,0.4,-0.0147572
4,0.0299479,-3.95366e-06,-0.00275243,0.00326319,0.6,-0.0147334
5,0.0600492,-1.26067e-05,-0.00265508,0.00312763,0.8,-0.0147607
6,0.10025,-2.90041e-05,-0.00253238,0.00288847,1,-0.0148706
7,0.150552,-5.555e-05,-0.00239412,0.00251893,1.2,-0.015068
8,0.210953,-9.47207e-05,-0.00225515,0.00198968,1.4,-0.0153699
9,0.281455,-0.000149032,-0.00144943,0.00565701,1.5,-0.0244331
10,0.362057,-0.00022097,0.0104564,-0.00125158,1.5,-0.0246033
11,0.452758,-0.000313047,0.0177985,0.0752393,1.5,-0.0254114
12,0.55356,-0.000427784,0.021119,0.0263062,1.5,-0.065204
13,0.664461,-0.000567208,0.0136254,0.0150481,1.5,-0.124073
14,0.785461,-0.000733321,0.0141235,-0.00660809,1.5,-0.130739
15,0.916561,-0.000929198,0.0086882,-0.0276424,1.5,-0.138406
16,1.05776,-0.00115827,0.00329648,-0.0483892,1.5,-0.148599
17,1.20641,-0.00200958,-0.0135096,-0.0553344,1.5,-0.135091
18,1.35649,-0.00454641,-0.0217661,-0.0533786,1.5,-0.132714
19,1.50652,-0.00904652,-0.0363006,-0.04855,1.5,-0.130523
20,1.65649,-0.0154846,-0.0431095,-0.0404466,1.5,-0.118782
21,1.80636,-0.0237672,0.0076334,0.00940865,1.5,-0.0985117
22,1.95611,-0.0336693,-0.00489295,-0.0053785,1.5,-0.0328126
23,2.10438,-0.0445364,-0.00567879,-0.00474113,1.5,-0.0228005
24,2.25396,-0.0559682,-0.00843663,-0.00872688,1.5,-0.0253394
25,2.40351,-0.0677591,-0.0129153,-0.00755842,1.5,-0.0246706
26,2.55304,-0.079924,-0.0216424,-0.0093115,1.5,-0.00437399
27,2.70253,-0.0923294,-0.0228956,-0.00730799,1.5,0.00170088
28,2.85201,-0.104771,-0.0301767,-0.0110408,1.5,-0.000461741
29,3.00149,-0.11721,-0.0345154,-0.0137585,1.5,5.19338e-05
30,3.15097,-0.129661,-0.0363932,-0.0118815,1.5,0.00447449
31,3.30045,-0.142091,-0.0036255,0.0995762,1.5,0.00807116
32,3.44993,-0.154441,0.0130553,0.0917191,1.5,0.0397668
33,3.59942,-0.166482,0.0280753,0.0741018,1.5,0.0451038
34,3.74894,-0.177919,0.037816,0.0554302,1.5,0.0439256
35,3.89852,-0.188712,0.0470017,0.0386019,1.5,0.0474452
36,4.04814,-0.198847,0.0488563,0.0289191,1.5,0.0328323
37,4.1978,-0.208389,0.0521134,0.0206314,1.5,0.0294772
38,4.3475,-0.217477,0.0538302,0.0157216,1.5,0.0282156
39,4.49723,-0.226147,0.0543156,0.00967712,1.5,0.0193454
40,4.64698,-0.234468,0.052826,0.00707935,1.5,0.0157315
41,4.79675,-0.242534,0.0191407,0.0452703,1.5,0.031313
42,4.94652,-0.250278,0.0249234,0.0399249,1.5,0.0708374
43,5.09499,-0.257679,0.0308121,0.0392594,1.5,0.0694456
44,5.24477,-0.264682,0.0339414,0.0319497,1.5,0.0747045
45,5.39459,-0.270648,0.0382383,0.024599,1.5,0.0709651
46,5.54445,-0.27555,0.0412019,0.017853,1.5,0.0584213
47,5.69435,-0.279495,0.0461891,0.0137412,1.5,0.0567153
48,5.84427,-0.282598,0.0508324,0.00703257,1.5,0.0535662
49,5.99421,-0.284894,0.0507347,0.00273362,1.5,0.0433264
50,6.14416,-0.286473,0.0505594,-0.00229492,1.5,0.0311567
51,6.29413,-0.287496,0.0111642,0.0356641,1.5,0.0284575
52,6.44411,-0.28808,0.0139203,0.0286395,1.5,0.0259089
53,6.59409,-0.288267,0.0177486,0.0221735,1.5,0.024366
54,6.74407,-0.288088,0.0209215,0.0144609,1.5,0.0214634
55,6.89405,-0.287572,0.0202072,0.00761696,1.5,0.0173167
56,7.04403,-0.286765,0.0207622,0.00319482,1.5,0.009603
57,7.19402,-0.285748,0.0203412,-0.00445643,1.5,0.00755787
58,7.344,-0.284599,0.0193667,-0.0054189,1.5,0.00641153
59,7.49399,-0.283341,0.0213621,-0.0057732,1.5,0.00728465
60,7.64398,-0.281979,0.0210213,-0.00603213,1.5,0.00599825
61,7.79397,-0.280515,-0.00158832,-0.00988995,1.5,0.005478
62,7.94395,-0.278961,-0.00407937,-0.0104814,1.5,0.0047601
63,8.09394,-0.277327,-0.00538942,-0.00709416,1.5,0.00439447
64,8.24393,-0.275622,-0.00848584,-0.0066259,1.5,-0.000370394
65,8.39391,-0.273876,-0.00922776,-0.00330959,1.5,-0.00100346
66,8.5439,-0.272136,-0.0148169,-0.00398564,1.5,0.00302025
67,8.69389,-0.270382,-0.0199626,0.00159998,1.5,0.00039058
68,8.84388,-0.268595,-0.0210869,0.00121392,1.5,0.000624824
69,8.99387,-0.266796,-0.0215482,0.00332668,1.5,0.0031024
70,9.14385,-0.264969,-0.0207888,0.00352334,1.5,0.00276089
71,9.29384,-0.263095,-0.015499,-0.0176155,1.5,0.00068106
72,9.44382,-0.261189,-0.017149,-0.0097332,1.5,-0.000605288
73,9.59381,-0.259276,-0.0189875,-0.00323871,1.5,0.000267372
74,9.7438,-0.257363,-0.0226718,0.00167147,1.5,-0.0012157
75,9.89378,-0.255452,-0.0221229,0.00555778,1.5,-0.00138594
76,10.0438,-0.253555,-0.019257,0.00800163,1.5,-0.0031288
77,10.1938,-0.251684,-0.0183525,0.00929989,1.5,-0.00322434
78,10.3438,-0.249857,-0.015131,0.0164598,1.5,-0.00519047
79,10.4937,-0.248085,-0.0111861,0.0164227,1.5,-0.0055012
80,10.6437,-0.246387,-0.00969055,0.012666,1.5,-0.0101073
81,10.7937,-0.244795,-0.00288038,0.0100239,1.5,-0.011147
82,10.9437,-0.243353,-0.00119793,0.00917349,1.5,-0.0110748
83,11.0937,-0.242071,0.0024032,0.00777911,1.5,-0.00856622
84,11.2437,-0.240932,0.00341764,0.00585181,1.5,-0.00789974
85,11.3937,-0.239911,0.00608763,0.00385696,1.5,-0.00619932
86,11.5437,-0.238991,0.00687175,0.00165971,1.5,-0.0116744
87,11.6938,-0.238194,0.00818378,-0.000339064,1.5,-0.00901898
88,11.8438,-0.237548,0.0134348,0.00123752,1.5,-0.00376904
89,11.9938,-0.236998,0.0141806,-0.000471107,1.5,-0.00489642
90,12.1438,-0.236507,0.013216,-0.0032215,1.5,-0.00900974
91,12.2938,-0.236112,0.00736078,-0.00363592,1.5,-0.010686
92,12.4438,-0.235855,0.00765068,-0.00286528,1.5,-0.00982139
93,12.5938,-0.235747,0.00769799,-0.00463703,1.5,-0.0096571
94,12.7438,-0.235778,0.00692931,-0.00547849,1.5,-0.00924688
95,12.8938,-0.235945,0.00619584,-0.00886843,1.5,-0.0118024
96,13.0438,-0.236262,0.00487679,-0.00924566,1.5,-0.0161699
97,13.1938,-0.236782,0.00710692,-0.00345763,1.5,-0.0100828
98,13.3438,-0.237504,0.00583394,-0.00387251,1.5,-0.0094253
99,13.4938,-0.238375,0.00614698,-0.0033954,1.5,-0.00764546
100,13.6438,-0.239379,0.00681715,-0.00382126,1.5,-0.00665259
101,13.7938,-0.240492,-0.012189,-0.0563706,1.5,-0.0064087
102,13.9438,-0.241707,-0.0195331,-0.0460576,1.5,-0.00740133
103,14.0938,-0.243026,-0.0256694,-0.035722,1.5,-0.00711757
104,14.2438,-0.244457,-0.0306799,-0.0252627,1.5,-0.00602848
105,14.3938,-0.24599,-0.0393589,-0.0173448,1.5,-0.0115363
106,14.5438,-0.247651,-0.0413174,-0.00845111,1.5,0.000625551
107,14.6938,-0.249409,-0.0430431,-0.0055156,1.5,0.00165447
108,14.8438,-0.251158,-0.0440418,-0.00199772,1.5,0.00297622
109,14.9938,-0.252879,-0.0430604,0.00207761,1.5,0.00403599
110,15.1438,-0.254555,-0.0404398,0.00771232,1.5,0.00634628
111,15.2938,-0.256161,-0.0126111,-0.0141525,1.5,0.00892716
112,15.4437,-0.257664,-0.0154941,-0.00470319,1.5,0.00888919
113,15.5937,-0.259041,-0.0159585,-0.0016511,1.5,0.00849903
114,15.7437,-0.260294,-0.015144,0.00277177,1.5,0.0107126
115,15.8937,-0.261413,-0.0145533,0.00492329,1.5,0.0106494
116,16.0437,-0.262381,-0.010151,0.00564708,1.5,0.00815959
117,16.1937,-0.263212,-0.0160397,0.00679225,1.5,0.00164611
118,16.3437,-0.263969,-0.0133522,0.00876573,1.5,0.000284293
119,16.4937,-0.264714,-0.0147595,0.00990356,1.5,-0.00609506
120,16.6437,-0.265499,-0.0133284,0.00926909,1.5,-0.0064057
121,16.7937,-0.26638,-0.0129693,0.00729624,1.5,-0.00995993
122,16.9437,-0.267381,-0.0125355,0.00566735,1.5,-0.00797035
123,17.0937,-0.26852,-0.0105592,0.00868204,1.5,-0.00293177
124,17.2437,-0.269748,-0.010148,0.00723977,1.5,-0.00376553
125,17.3937,-0.271031,-0.00909527,0.00685702,1.5,-0.00368767
126,17.5437,-0.272373,-0.0070158,0.00670543,1.5,0.00096536
127,17.6937,-0.273744,-0.00572905,0.00817844,1.5,0.00154608
128,17.8436,-0.275103,0.00201526,0.0119758,1.5,0.0119172
129,17.9936,-0.276379,0.00334226,0.0099246,1.5,0.0130284
130,18.1436,-0.277478,0.00654101,0.00783936,1.5,0.0146044
131,18.2936,-0.278381,0.0103069,0.00116292,1.5,0.017911
132,18.4436,-0.279054,0.0122607,0.00450445,1.5,0.0163888
133,18.5936,-0.279478,0.0128065,0.0013608,1.5,0.014302
134,18.7436,-0.279679,0.012882,-0.000490549,1.5,0.0134395
135,18.8935,-0.27968,0.0119523,-0.0037671,1.5,0.0116271
136,19.0435,-0.279498,0.0112982,-0.00505715,1.5,0.00585699
137,19.1935,-0.279185,0.0135837,-0.000512356,1.5,0.0048634
138,19.3435,-0.278788,0.0133232,-0.00294027,1.5,0.0076465
139,19.4935,-0.278299,0.0116282,-0.00092322,1.5,0.00761562
140,19.6435,-0.277695,0.00659727,-0.00720624,1.5,-0.00123916
141,19.7935,-0.277032,0.00547155,-0.00773259,1.5,-0.0015904
142,19.9435,-0.276385,0.00789241,0.00754674,1.5,0.0021829
143,20.0935,-0.275735,0.0126444,0.00465049,1.5,0.00765938
144,20.2435,-0.275015,0.0130391,0.000638152,1.5,0.0100106
145,20.3935,-0.274165,0.0115583,-0.00362693,1.5,0.00820692
146,20.5435,-0.273177,0.010813,-0.00629238,1.5,0.00762248
147,20.6935,-0.272069,0.00757816,-0.00879234,1.5,0.00556802
148,20.8434,-0.270859,0.00589247,-0.0129282,1.5,0.0058622
149,20.9934,-0.269561,0.000892316,-0.0205746,1.5,0.01485
150,21.1434,-0.268118,-0.00203416,-0.0182453,1.5,0.0328296
151,21.2934,-0.266341,-0.00455212,-0.0153562,1.5,0.0346839
152,21.4433,-0.264069,-0.00647928,-0.0103798,1.5,0.0388941
153,21.5933,-0.261259,-0.00751474,-0.00350908,1.5,0.0401497
154,21.7432,-0.257866,-0.00735698,0.00553167,1.5,0.0290459
155,21.8931,-0.253951,-0.00560205,0.0179323,1.5,0.0298065
tracking time,170,2000000
